ENST00000342085.4#PDPK1	0	chr16	+	2587864	2653289	2647935,2647838,2647803,2647947,2647928,2648223,2588021,
ENST00000335643.8#KATNA1	0	chr6	-	149915908	149969971	149969756,
ENST00000290913.3#CHCHD6	0	chr3	+	126422962	126679349	126633313,
ENST00000325748.4#PRKRA	0	chr2	-	179296040	179316058	179296963,
ENST00000254759.3#COQ3	0	chr6	-	99817175	99842180	99817463,
ENST00000443503.2#CTDSPL	0	chr3	+	37903350	38026060	38022538,38022521,38022515,
ENST00000344836.4#USP7	0	chr16	-	8985850	9057441	8987795,8987214,8987210,8987179,8987688,
ENST00000241436.4#POLK	0	chr5	+	74807480	74897069	74892872,74893843,74893850,
ENST00000409502.3#PPM1M	0	chr3	+	52280124	52284713	52284444,52284396,52284076,
ENST00000545260.1#PARD3	0	chr10	-	34398387	35104353	34635080,34400137,34965181,34671642,34671621,34400042,34606148,
ENST00000216181.5#MYH9	0	chr22	-	36677226	36784163	36745289,36677825,36745080,36682880,36678676,36678620,36701641,36678684,36698643,36681291,36726769,36678480,36677900,36726799,36678610,36677792,
ENST00000369983.3#GBF1	0	chr10	+	104005188	104142756	104142571,104005288,104142325,
ENST00000376131.4#FGF14	0	chr13	-	102372033	103054224	102657774,
ENST00000311128.5#DENND6A	0	chr3	-	57611083	57678916	57614041,57613805,57613979,
ENST00000367459.3#RGS1	0	chr1	+	192544756	192549261	192548721,192548451,192548640,192548375,
ENST00000256441.4#MRPS36	0	chr5	+	68513486	68526056	68525105,
ENST00000296582.3#TMEM184C	0	chr4	+	148538433	148557972	148555492,148556180,148555659,148556279,148555324,148555602,148555585,148555473,
ENST00000394234.2#DCAF4	0	chr14	+	73393085	73426511	73425807,73425819,
ENST00000431078.1#CNTNAP5	0	chr2	+	124782763	125672964	124945832,
ENST00000427980.2#ATXN1L	0	chr16	+	71879793	71891331	71884857,71884685,71885405,71885102,71884863,71884505,71885473,71885159,71884848,
ENST00000543010.1#NLRP2	0	chr19	+	55476519	55512610	55494657,55493763,55494831,55493751,55494811,55494697,55493740,55494642,
ENST00000329962.6#B4GALNT4	0	chr11	+	369703	382216	376857,376946,
ENST00000326427.6#ITM2C	0	chr2	+	231729514	231744062	231742930,231740347,231729647,
ENST00000217402.2#CHMP4B	0	chr20	+	32399009	32442272	32441619,32441322,32441325,32441328,
ENST00000396958.3#FLYWCH2	0	chr16	+	2933086	2949483	2949060,2946752,
ENST00000263383.3#ILVBL	0	chr19	-	15225697	15236696	15227026,
ENST00000392129.6#TMCO1	0	chr1	-	165695931	165738239	165723508,165737443,165728779,165737477,165738106,165728782,
ENST00000307145.3#KLF13	0	chr15	+	31618957	31670202	31666455,31668366,31669827,31665071,31669088,31669114,31664679,31665341,31665567,31665581,31665543,31665575,31665713,31664739,31664759,31664783,31665561,31666441,31665460,31668328,31664584,31664608,31664850,31665748,31665691,31665304,
ENST00000337137.4#TBC1D22A	0	chr22	+	47158417	47571436	47569437,47570720,
ENST00000381869.3#MTUS1	0	chr8	-	17501203	17658526	17503536,17612088,17611801,17503436,17503259,17612812,17612472,17503166,17611930,17612300,17503316,17612112,17503192,17613229,17503381,17612084,17612050,17612045,17503415,17611829,17612693,17613184,17503039,17613205,17503550,17611575,17503278,
ENST00000370747.4#IFI44	0	chr1	+	79115415	79129863	79116256,
ENST00000405303.2#TAPT1	0	chr4	-	16162027	16228264	16165029,16164759,16164700,16164966,16164855,16165017,16164890,16165038,16164708,16164828,16164870,16165054,16164536,
ENST00000297440.6#HEATR2	0	chr7	+	766237	826212	825780,825754,825389,824543,825613,825362,825815,825750,825777,
ENST00000377828.1#ESPN	0	chr1	+	6484747	6521104	6508102,
ENST00000448838.3#PDHX	0	chr11	+	34937576	35017769	35016651,35016633,35016655,
ENST00000276449.4#STAR	0	chr8	-	38001066	38008883	38001689,
ENST00000226760.1#WFS1	0	chr4	+	6271476	6305092	6304353,6304347,6304304,6304319,6304849,
ENST00000257940.2#ZC3H10	0	chr12	+	56511842	56516378	56514950,56515335,56514770,56514935,56514785,56515663,
ENST00000275766.1#ZC3HAV1L	0	chr7	-	138710351	138720875	138713531,138713600,
ENST00000396396.1#PGM5	0	chr9	+	70971714	71146077	70999000,
ENST00000284273.5#UBASH3B	0	chr11	+	122526282	122685281	122680742,122680687,122680654,122680762,
ENST00000379454.4#ASPH	0	chr8	-	62413687	62627218	62415958,62519635,62538820,62574437,
ENST00000260843.4#GPR87	0	chr3	-	151011790	151034840	151012475,151012790,151012758,
ENST00000356711.2#MYO16	0	chr13	+	109248399	109860455	109773725,
ENST00000377403.2#H6PD	0	chr1	+	9294733	9331496	9305092,9305258,9329088,9329258,9305360,9329201,9305064,9324551,9328989,9305339,9330841,9329173,9329204,9329196,9305329,9305127,
ENST00000328656.4#KCNJ15	0	chr21	+	39628562	39679379	39678637,
