ENSMUST00000025705.6#Jak2	0	chr19	+	29251727	29313180	29312485,29311831,29312657,29312499,29311894,
ENSMUST00000026839.4#Prps2	0	chrX	-	167346221	167382849	167348826,
ENSMUST00000079413.8#Fkbp5	0	chr17	-	28398994	28486249	28401014,28400977,
ENSMUST00000089018.9#Tatdn2	0	chr6	+	113696949	113711169	113704722,113702335,113702649,113702641,113704243,113704462,
ENSMUST00000000500.6#Pdgfb	0	chr15	-	79995799	80014908	79997028,79996988,79996995,
ENSMUST00000071492.8#Fam136a	0	chr6	+	86365545	86370158	86369056,86368943,86369569,
ENSMUST00000145614.1#Mrps26	0	chr2	+	130563641	130568795	130565052,
ENSMUST00000094004.4#Abhd15	0	chr11	+	77515020	77520145	77519117,77518730,77519069,
ENSMUST00000163134.6#Nrxn3	0	chr12	+	88794403	90335035	90332048,90332058,89812697,90331856,89812997,90332435,
ENSMUST00000154330.1#Mrps24	0	chr11	-	5703882	5707787	5704533,
ENSMUST00000107166.6#Tenm4	0	chr7	+	96210536	96911193	96874140,96910753,96910788,96895975,96910371,96910312,96896143,96896153,96896160,96895410,96894830,96874444,96906625,96894925,96894788,96906407,96906530,96910393,96906441,96906076,
ENSMUST00000106000.7#Cd151	0	chr7	+	141467261	141471579	141470812,
ENSMUST00000086430.4#Col5a2	0	chr1	-	45374220	45503382	45376031,
ENSMUST00000103143.8#Fbxl20	0	chr11	-	98082455	98149712	98089339,98089567,
ENSMUST00000102871.8#L1cam	0	chrX	-	73853854	73880934	73854879,73854855,
ENSMUST00000112338.1#Rai2	0	chrX	+	161716968	161779594	161778392,161778626,161779074,161778654,
ENSMUST00000033609.7#Cstf2	0	chrX	+	134059096	134086919	134074591,
ENSMUST00000021161.11#Slc13a5	0	chr11	-	72241893	72266702	72243447,
ENSMUST00000042125.13#Ttll4	0	chr1	+	74661644	74703830	74700327,74679152,74680204,74679763,74701676,74698564,
ENSMUST00000022458.9#Bap1	0	chr14	+	31251349	31260044	31259352,31259001,
ENSMUST00000120990.1#Olfml1	0	chr7	+	107567345	107591194	107590905,
ENSMUST00000078757.6#Gal3st1	0	chr11	+	3983535	3999426	3985003,3985019,
ENSMUST00000049997.12#Prokr2	0	chr2	-	132370228	132385500	132373185,132372532,132372249,132373140,132373445,132372450,132373164,
ENSMUST00000061632.7#Trhde	0	chr10	-	114398722	114801464	114400595,
ENSMUST00000054867.7#Gpr37	0	chr6	-	25667402	25690829	25669445,
ENSMUST00000089645.11#Htra2	0	chr6	-	83051165	83054671	83051508,
ENSMUST00000043520.3#Fbxo25	0	chr8	+	13907705	13940621	13940192,
ENSMUST00000179474.6#Fam160a2	0	chr7	-	105371110	105400154	105390339,105371430,105378680,105379026,105383997,105378644,105384235,105389645,105390353,105389636,105371350,
ENSMUST00000084852.10#Numa1	0	chr7	+	101969742	102015059	101998622,102000227,102001454,102000255,102001402,102000207,101998939,102000279,
ENSMUST00000004968.9#Plod3	0	chr5	+	136986918	136996748	136996466,
ENSMUST00000031119.4#Gabrg1	0	chr5	-	70750946	70842717	70754189,
ENSMUST00000106781.1#Pars2	0	chr4	+	106650997	106655380	106654530,106654369,106653986,106653566,106654776,106653920,106653558,
ENSMUST00000045228.10#Zkscan8	0	chr13	-	21513121	21531220	21520191,
ENSMUST00000029240.12#Slc2a2	0	chr3	+	28697802	28731459	28728702,28727602,
ENSMUST00000088452.9#Slc38a1	0	chr15	-	96571317	96643013	96576114,96576586,96576426,
ENSMUST00000055128.10#Tapt1	0	chr5	-	44175053	44226722	44176967,44176554,44177051,44177003,44176988,44176857,44176530,
ENSMUST00000204087.1#Rab11fip5	0	chr6	-	85334866	85374734	85341220,85341075,85341784,85348840,85341174,85341789,85341796,85336991,85348119,85348412,85348450,85341887,
ENSMUST00000066039.6#Cstf2t	0	chr19	+	31082740	31086690	31083165,31084048,31083919,31083843,31083129,31084118,31084424,31084006,31083786,31084447,31084081,
ENSMUST00000147148.3#Smim20	0	chr5	+	53267037	53278640	53278056,53278369,53278072,53278085,53278118,53278112,
ENSMUST00000166497.6#Abhd6	0	chr14	+	8002801	8056655	8055996,8056429,8056176,8056273,8055966,8056533,8055982,8055862,
ENSMUST00000071402.5#Elovl6	0	chr3	+	129532285	129638595	129633596,129633158,129634218,129633636,129634211,129634460,129633679,129634486,129633194,129634371,
ENSMUST00000101560.3#Zfp449	0	chrX	+	56346299	56365774	56362879,56348358,56362861,
ENSMUST00000029562.4#Chrnb2	0	chr3	-	89752332	89764732	89755356,89761505,89754177,89754185,89761397,89755361,89756284,
ENSMUST00000052932.9#Pde12	0	chr14	-	26659857	26669983	26665869,26665491,26665124,26668682,
ENSMUST00000174766.1#L3mbtl3	0	chr10	-	26275351	26375285	26275668,26275805,
ENSMUST00000115733.1#Gucy1a2	0	chr9	+	3532253	3897442	3634842,3894712,3759471,3894730,
ENSMUST00000044503.12#Rftn1	0	chr17	-	49992156	50190774	49993855,
ENSMUST00000046792.8#Olfml2b	0	chr1	+	170644431	170682889	170669187,170682131,
ENSMUST00000052999.11#Echdc2	0	chr4	+	108165336	108179408	108179095,108179112,108179162,
ENSMUST00000121401.6#Simc1	0	chr13	+	54503678	54551390	54550711,54526325,54550553,54524022,54524294,54528406,54550595,
ENSMUST00000161017.6#Kif26b	0	chr1	+	178529024	178939300	178932505,178918098,178932417,178915809,178915095,178932270,
ENSMUST00000034564.1#2310030G06Rik	0	chr9	-	50739590	50746621	50740427,50739751,50740308,50740433,
ENSMUST00000155023.6#Kazn	0	chr4	-	142102289	142210306	142104672,142141214,142104873,142140948,142141197,
ENSMUST00000185333.1#Kcna6	0	chr6	-	126708231	126740774	126738463,126738239,126738175,126737722,126735925,126739036,126737449,126739193,126736976,126708598,126738448,126740078,126737524,126735937,126736924,
ENSMUST00000103120.4#Cnp	0	chr11	+	100574803	100581828	100576779,
ENSMUST00000081742.6#Gm13154	0	chr4	+	147553238	147585298	147584846,147583184,147584915,
ENSMUST00000023849.13#Ccrn4l	0	chr3	+	51224346	51251744	51251428,51251314,51249862,51250570,51251060,51251041,51250300,51250973,51250206,51250019,51250650,51249919,51250598,51249825,51250565,51251303,51250473,
ENSMUST00000114942.7#Proser2	0	chr2	-	6097506	6130311	6100322,
ENSMUST00000049091.8#Cox10	0	chr11	-	63962526	64079566	63963936,63963913,63964089,
ENSMUST00000033800.11#Plp1	0	chrX	+	136822570	136839833	136836722,136822809,
ENSMUST00000037064.4#Slc25a37	0	chr14	-	69241747	69285212	69249051,69249333,69244846,69245281,69248787,69249065,
ENSMUST00000118174.6#Phtf2	0	chr5	-	20758562	20882224	20760674,20794406,
ENSMUST00000036116.5#Ttc9	0	chr12	+	81631268	81665041	81663770,81663795,
ENSMUST00000103217.9#Pex14	0	chr4	-	148960434	149099976	148961346,
ENSMUST00000041331.2#Scd1	0	chr19	-	44394350	44407809	44397949,
ENSMUST00000127433.6#Gm4969	0	chr7	-	19101450	19118441	19102816,
