ENST00000342085.4#PDPK1	0	chr16	+	2587864	2653289	2647928,2648223,2647947,2647803,
ENST00000325748.4#PRKRA	0	chr2	-	179296040	179316058	179296963,
ENST00000254759.3#COQ3	0	chr6	-	99817175	99842180	99817463,
ENST00000443503.2#CTDSPL	0	chr3	+	37903350	38026060	38022538,38022515,38022521,
ENST00000344836.4#USP7	0	chr16	-	8985850	9057441	8987179,8987214,8987795,8987210,
ENST00000241436.4#POLK	0	chr5	+	74807480	74897069	74892872,74893843,74893850,
ENST00000409502.3#PPM1M	0	chr3	+	52280124	52284713	52284444,52284396,
ENST00000545260.1#PARD3	0	chr10	-	34398387	35104353	34671642,34606148,34671621,34635080,34400137,34400042,
ENST00000216181.5#MYH9	0	chr22	-	36677226	36784163	36682880,36678480,36678676,36745080,36726769,36698643,36678684,36726799,36678620,36677825,36681291,36677900,36678610,36701641,
ENST00000369983.3#GBF1	0	chr10	+	104005188	104142756	104142571,104142325,
ENST00000376131.4#FGF14	0	chr13	-	102372033	103054224	102657774,
ENST00000311128.5#DENND6A	0	chr3	-	57611083	57678916	57614041,57613805,57613979,
ENST00000367459.3#RGS1	0	chr1	+	192544756	192549261	192548640,192548721,192548375,
ENST00000256441.4#MRPS36	0	chr5	+	68513486	68526056	68525105,
ENST00000296582.3#TMEM184C	0	chr4	+	148538433	148557972	148555492,148556279,148555324,148555585,148556180,148555659,148555602,148555473,
ENST00000394234.2#DCAF4	0	chr14	+	73393085	73426511	73425819,73425807,
ENST00000427980.2#ATXN1L	0	chr16	+	71879793	71891331	71884848,71884685,71884857,71884863,71885102,
ENST00000543010.1#NLRP2	0	chr19	+	55476519	55512610	55494697,55494657,55494811,55493763,55493751,55493740,
ENST00000329962.6#B4GALNT4	0	chr11	+	369703	382216	376946,376857,
ENST00000326427.6#ITM2C	0	chr2	+	231729514	231744062	231729647,
ENST00000217402.2#CHMP4B	0	chr20	+	32399009	32442272	32441619,
ENST00000396958.3#FLYWCH2	0	chr16	+	2933086	2949483	2949060,
ENST00000263383.3#ILVBL	0	chr19	-	15225697	15236696	15227026,
ENST00000392129.6#TMCO1	0	chr1	-	165695931	165738239	165723508,165737443,165737477,
ENST00000307145.3#KLF13	0	chr15	+	31618957	31670202	31669827,31668366,31669088,31665561,31664679,31664739,31664608,31665460,31665341,31665071,31665748,31668328,31665304,31665543,31665691,31664783,31664584,31669114,31664759,31665713,31665581,31665567,31664850,
ENST00000337137.4#TBC1D22A	0	chr22	+	47158417	47571436	47570720,
ENST00000381869.3#MTUS1	0	chr8	-	17501203	17658526	17503259,17612112,17613184,17611575,17612693,17612472,17611930,17503381,17612088,17503278,17611801,17611829,17612300,17612050,17613205,17503415,17503550,17503536,
ENST00000370747.4#IFI44	0	chr1	+	79115415	79129863	79116256,
